Level;Number of Mobs;Speed;Max HP|
1;4;3;150|
2;6;3;150|
3;8;3;150|
4;10;3;150|
5;12;3;150|
6;14;3;150|
7;16;3;150|
8;18;3;150|
9;20;3;150|
10;4;6;200|
11;6;6;200|
12;8;6;200|
13;10;6;200|
14;12;6;200|
15;14;6;200|
16;16;6;200|
17;18;6;200|
18;20;6;200|
19;4;9;250|
20;6;9;250|
21;8;9;250|
22;10;9;250|
23;12;9;250|
24;14;9;250|
25;16;9;250|
26;18;9;250|
27;20;9;250|
28;4;12;300|
29;6;12;300|
30;8;12;300|
31;10;12;300|
32;12;12;300|
33;14;12;300|
34;16;12;300|
35;18;12;300|
36;20;12;300|
37;4;15;350|
38;6;15;350|
39;8;15;350|
40;10;15;350|
41;12;15;350|
42;14;15;350|
43;16;15;350|
44;18;15;350|
45;20;15;350|
46;4;18;400|
47;6;18;400|
48;8;18;400|
49;10;18;400|
50;12;18;400|
